month,n_samples,auc,accuracy,precision,recall,f1_score,actual_default_rate,predicted_default_rate,true_positives,false_positives,true_negatives,false_negatives,false_negative_rate,false_positive_rate
2023-06-01,517,0.9407222435651172,0.8568665377176016,0.7006369426751592,0.8029197080291971,0.7482993197278912,0.26499032882011603,0.3036750483558994,110,47,333,27,0.19708029197080293,0.12368421052631579
2023-07-01,471,0.917134225291325,0.8195329087048833,0.6687116564417178,0.7785714285714286,0.7194719471947195,0.29723991507430997,0.346072186836518,109,54,277,31,0.22142857142857142,0.16314199395770393
2023-08-01,481,0.9485253902141446,0.8627858627858628,0.732484076433121,0.8273381294964028,0.7770270270270271,0.288981288981289,0.3264033264033264,115,42,300,24,0.17266187050359713,0.12280701754385964
2023-09-01,454,0.933726326351436,0.8348017621145375,0.6549295774647887,0.7815126050420168,0.7126436781609194,0.2621145374449339,0.31277533039647576,93,49,286,26,0.2184873949579832,0.14626865671641792
2023-10-01,487,0.9317569060773481,0.8316221765913757,0.6442953020134228,0.768,0.7007299270072992,0.25667351129363447,0.3059548254620123,96,53,309,29,0.232,0.1464088397790055
2023-11-01,491,0.9345108914074431,0.8472505091649695,0.7297297297297297,0.7552447552447552,0.7422680412371134,0.29124236252545826,0.3014256619144603,108,40,308,35,0.24475524475524477,0.11494252873563218
2023-12-01,489,0.9384576198126886,0.8548057259713702,0.75,0.7947019867549668,0.7717041800643085,0.30879345603271985,0.32719836400818,120,40,298,31,0.2052980132450331,0.11834319526627218
2024-01-01,485,0.8255946562398175,0.7938144329896907,0.6325301204819277,0.7291666666666666,0.6774193548387096,0.29690721649484536,0.3422680412371134,105,61,280,39,0.2708333333333333,0.17888563049853373
2024-02-01,518,0.8064800044006821,0.750965250965251,0.5489130434782609,0.6870748299319728,0.6102719033232628,0.28378378378378377,0.3552123552123552,101,83,288,46,0.3129251700680272,0.22371967654986524
2024-03-01,511,0.8021831181452173,0.7710371819960861,0.6424581005586593,0.6845238095238095,0.6628242074927954,0.3287671232876712,0.350293542074364,115,64,279,53,0.31547619047619047,0.18658892128279883
2024-04-01,513,0.7847272313124027,0.7582846003898636,0.5523255813953488,0.6690140845070423,0.605095541401274,0.27680311890838205,0.33528265107212474,95,77,294,47,0.33098591549295775,0.20754716981132076
2024-05-01,491,0.7950861493779191,0.7617107942973523,0.5952380952380952,0.6711409395973155,0.6309148264984228,0.3034623217922607,0.3421588594704684,100,68,274,49,0.3288590604026846,0.19883040935672514
2024-06-01,498,0.8199379290886861,0.8012048192771084,0.6772151898734177,0.6903225806451613,0.6837060702875399,0.3112449799196787,0.3172690763052209,107,51,292,48,0.3096774193548387,0.14868804664723032
2024-07-01,505,0.823815668202765,0.7801980198019802,0.6264367816091954,0.7032258064516129,0.6626139817629179,0.3069306930693069,0.3445544554455445,109,65,285,46,0.2967741935483871,0.18571428571428572
