date,psi,baseline_date
2023-07-01,0.06614955872744062,2023-06-01
2023-08-01,0.046736283668242916,2023-06-01
2023-09-01,0.01530611995036723,2023-06-01
2023-10-01,0.0635850482677743,2023-06-01
2023-11-01,0.04501345723345416,2023-06-01
2023-12-01,0.0621602407986892,2023-06-01
2024-01-01,0.022692484137353832,2023-06-01
2024-02-01,0.06424197160635556,2023-06-01
2024-03-01,0.03393917441041227,2023-06-01
2024-04-01,0.04314582082254243,2023-06-01
2024-05-01,0.05071092138146409,2023-06-01
2024-06-01,0.07575122130765842,2023-06-01
2024-07-01,0.2083507410420793,2023-06-01
2024-08-01,0.2603435001825003,2023-06-01
2024-09-01,0.4572969102863933,2023-06-01
2024-10-01,0.26884679116318055,2023-06-01
2024-11-01,0.31537236027259874,2023-06-01
2024-12-01,0.38927251192710133,2023-06-01
2025-01-01,0.2248707346158026,2023-06-01
